Time,Asianet,News24,Manorama,MediaOne
2020-08-19 19:30:50,8620,8572,3361,1656
2020-08-19 19:31:05,8699,8568,3447,1659
2020-08-19 19:31:48,8848,8560,3632,1694
2020-08-19 19:32:02,8873,8564,3671,1718
2020-08-19 19:32:15,8903,8586,3714,1743
2020-08-19 19:32:28,8837,8606,3774,1736
2020-08-19 19:32:41,8685,8705,3802,1737
2020-08-19 19:32:54,8644,8784,3867,1730
2020-08-19 19:33:07,8617,8797,3873,1731
2020-08-19 19:33:20,8573,8838,3922,1710
2020-08-19 19:33:33,8558,8882,3970,1690
2020-08-19 19:33:45,8558,8920,4008,1670
2020-08-19 19:33:58,8598,8970,4023,1655
2020-08-19 19:34:11,8608,9033,4051,1652
2020-08-19 19:34:23,8686,9072,4069,1646
2020-08-19 19:34:36,8744,9126,4051,1625
2020-08-19 19:34:49,8778,9123,4069,1605
2020-08-19 19:35:02,8845,9130,4054,1598
2020-08-19 19:35:15,8841,9149,4023,1593
2020-08-19 19:35:28,8830,9164,4022,1598
2020-08-19 19:35:41,8814,9251,3982,1616
2020-08-19 19:35:54,8748,9262,4003,1631
2020-08-19 19:36:07,8725,9284,4048,1618
2020-08-19 19:36:20,8712,9264,4063,1611
2020-08-19 19:36:33,8615,9265,4115,1620
2020-08-19 19:36:46,8595,9276,4146,1629
2020-08-19 19:36:59,8568,9323,4184,1623
2020-08-19 19:37:13,8577,9374,4200,1632
2020-08-19 19:37:26,8540,9434,4212,1627
2020-08-19 19:37:39,8501,9456,4236,1625
2020-08-19 19:37:52,8527,9519,4236,1636
2020-08-19 19:38:05,8519,9567,4251,1643
2020-08-19 19:38:18,8473,9576,4253,1654
2020-08-19 19:38:31,8457,9601,4282,1638
2020-08-19 19:38:45,8439,9629,4253,1651
2020-08-19 19:38:58,8370,9644,4248,1656
2020-08-19 19:39:10,8371,9749,4234,1648
2020-08-19 19:39:24,8370,9732,4225,1629
2020-08-19 19:39:37,8335,9809,4243,1589
2020-08-19 19:39:50,8377,9777,4243,1573
2020-08-19 19:40:03,8452,9784,4276,1568
2020-08-19 19:40:16,8483,9747,4317,1556
2020-08-19 19:40:29,8519,9755,4340,1544
2020-08-19 19:40:43,8538,9737,4378,1549
2020-08-19 19:40:56,8483,9739,4412,1556
2020-08-19 19:41:09,8500,9695,4412,1559
2020-08-19 19:41:25,8483,9626,4415,1558
2020-08-19 19:41:38,8483,9623,4432,1564
2020-08-19 19:41:51,8497,9638,4453,1562
2020-08-19 19:42:04,8346,9665,4519,1569
2020-08-19 19:42:18,7913,9667,4546,1575
2020-08-19 19:42:31,7727,9695,4467,1565
2020-08-19 19:42:44,7638,9733,4076,1608
2020-08-19 19:42:58,7547,9775,3978,1615
2020-08-19 19:43:11,7400,9834,3818,1614
2020-08-19 19:43:24,7366,9886,3706,1618
2020-08-19 19:43:38,7245,9898,3631,1623
2020-08-19 19:43:51,7281,10012,3543,1617
2020-08-19 19:44:04,7334,9980,3503,1604
2020-08-19 19:44:17,7384,10012,3478,1599
2020-08-19 19:44:30,7400,10057,3456,1588
2020-08-19 19:44:43,7407,10171,3433,1589
2020-08-19 19:44:56,7450,10203,3454,1604
2020-08-19 19:45:09,7433,10206,3478,1593
2020-08-19 19:45:22,7498,10135,3515,1581
2020-08-19 19:45:36,7518,10075,3503,1575
2020-08-19 19:45:49,7546,10032,3423,1568
2020-08-19 19:46:02,7587,10088,3410,1568
2020-08-19 19:46:15,7600,10065,3383,1557
2020-08-19 19:46:29,7651,10084,3351,1562
2020-08-19 19:46:42,7681,10135,3329,1492
2020-08-19 19:46:55,7702,10159,3282,1420
2020-08-19 19:47:09,7719,10180,3279,1385
2020-08-19 19:47:22,7752,10171,3272,1337
2020-08-19 19:47:35,7764,10162,3260,1295
2020-08-19 19:47:48,7829,10149,3283,1280
2020-08-19 19:48:06,7864,10231,3323,1301
2020-08-19 19:48:28,7857,10227,3371,1306
2020-08-19 19:48:47,7840,10298,3439,1310
2020-08-19 19:49:05,7869,10400,3506,1320
